Temp,Humidity,Visibility,Wind,Precip,Time,Avspeed
7,29,4,6,4,6,79
8,38,2,5,3,22,58
3,15,7,6,3,38,57
1,19,7,2,3,104,26
17,27,1,1,1,3,11
14,16,3,2,4,45,13
14,62,6,2,1,99,59
1,61,1,3,3,69,75
8,57,1,3,5,-23,38
4,77,2,6,1,9,23
10,61,6,10,5,2,42
4,44,4,5,1,94,66
14,62,2,6,3,98,18
13,61,4,5,2,84,15
17,16,4,5,5,-2,81
17,26,2,7,5,12,79
2,4,4,5,2,44,81
7,42,10,7,5,86,54
7,18,6,4,3,82,81
11,31,2,5,5,78,68
8,53,12,7,5,5,56
20,30,6,1,3,69,12
7,36,2,6,4,80,12
13,19,11,4,5,80,38
12,41,7,4,3,38,13
5,57,6,7,5,26,78
2,41,6,4,2,5,79
16,16,4,7,4,38,42
11,71,2,6,3,64,34
16,44,1,5,5,75,58
18,18,3,3,4,25,56
18,56,2,2,5,32,74
13,40,9,11,5,98,20
15,40,6,9,5,77,46
3,40,1,3,4,14,79
8,27,1,3,5,72,27
10,10,5,1,2,56,33
13,29,2,4,5,41,14
12,47,4,3,4,12,38
18,37,1,4,4,40,64
7,6,2,2,5,56,8
8,35,2,11,5,49,59
2,57,4,5,4,77,48
13,21,12,8,5,50,16
20,46,8,2,1,40,75
16,51,12,6,5,55,59
17,7,4,10,5,59,31
19,38,12,9,5,3,46
12,32,1,5,5,42,27
9,46,11,9,5,11,30
9,20,1,4,4,-10,30
12,36,2,3,5,44,0
10,43,3,6,2,67,27
11,4,1,6,5,85,30
14,22,3,2,4,-16,42
9,36,9,12,5,96,58
18,19,8,6,3,22,75
18,47,3,4,5,83,62
12,4,12,4,5,49,46
5,55,7,1,3,107,72
14,5,1,2,4,-30,6
19,40,11,6,5,50,50
15,31,7,3,5,7,64
6,4,2,1,1,88,41
1,24,5,6,2,20,50
3,21,4,3,4,21,41
11,35,1,2,4,40,18
15,13,1,9,5,21,80
11,6,2,7,4,62,14
7,29,6,6,5,-3,69
18,54,11,5,5,89,16
11,74,8,3,2,66,52
6,56,4,4,5,11,25
18,11,3,6,5,7,9
8,40,7,1,1,80,23
2,17,3,7,4,-8,3
3,6,4,3,1,106,48
2,13,2,4,4,87,55
17,27,1,4,5,81,16
6,35,3,10,5,14,38
20,54,6,3,2,94,32
9,21,4,4,4,40,3
7,61,6,5,3,43,31
9,51,1,4,5,57,2
12,21,6,4,5,19,33
18,13,4,3,5,99,5
17,56,9,11,5,64,47
7,10,4,5,3,117,24
14,43,2,2,4,38,64
11,60,6,3,5,63,40
20,21,2,7,5,14,21
7,3,7,9,5,19,25
16,21,1,3,5,4,52
10,25,8,5,5,17,71
5,48,2,6,2,19,39
6,76,9,2,2,12,0
14,50,2,7,4,-1,56
16,59,3,12,5,49,58
18,62,6,3,1,23,47
10,29,4,4,5,87,8
5,22,4,7,4,61,9
3,36,2,3,4,5,70
6,59,6,7,5,-10,55
8,41,10,9,5,14,71
18,12,4,7,5,43,62
18,55,7,6,5,84,43
6,14,5,5,5,80,51
6,31,4,5,3,36,43
6,38,1,3,4,31,25
5,52,9,3,5,99,71
18,9,6,5,5,56,57
19,66,6,2,2,4,77
3,76,6,6,1,23,72
9,46,4,10,5,66,19
3,70,6,1,2,25,26
19,29,1,4,1,24,70
9,18,3,6,5,-15,26
5,12,4,5,2,36,38
8,44,3,6,4,88,20
1,57,2,3,4,-23,61
10,19,2,12,5,87,15
15,8,2,3,5,67,70
3,33,4,7,4,17,15
18,41,10,8,5,53,14
18,39,2,2,4,36,0
7,58,8,7,5,4,68
5,59,9,3,5,80,27
8,52,7,8,5,75,80
15,31,8,3,5,66,19
3,59,5,3,3,53,78
11,29,1,7,4,71,6
4,52,3,3,5,35,45
19,40,4,4,3,25,80
9,22,3,4,1,96,40
12,14,8,2,3,89,42
13,28,2,6,4,49,35
8,2,1,5,5,22,56
13,7,10,10,5,19,27
14,32,6,6,3,45,12
12,8,10,11,5,93,57
12,28,8,3,1,18,32
16,17,8,6,5,22,54
18,1,2,4,5,45,31
19,42,4,5,5,66,44
14,41,2,7,5,64,60
3,35,1,4,5,-22,12
12,51,4,3,5,72,45
3,38,1,3,3,88,64
13,21,6,2,3,0,51
18,31,4,6,5,84,56
7,18,10,3,5,57,3
14,47,4,5,5,61,60
8,16,1,5,5,7,48
13,21,10,9,5,81,14
8,17,6,5,5,82,64
4,43,7,3,1,69,1
12,30,4,7,5,17,31
18,61,12,12,5,87,21
